"status_195", "Non-CA capturemethod required"
"status_199", "Invalid Refund"
"status_200", "Information Mismatch"
"status_201", "Missing Information"
"status_202", "VGIS parse error"
"status_203", "Support for VGIS not enabled"
"status_204", "Non-VGIS Card"
"status_205", "Invalid Totals"
"status_206", "Invalid Tax Amount"
"status_207", "Invalid Value"
"status_208", "VGIS message limit exceeded"
"status_209", "VGIS decompression failed"
"status_210", "Invalid environment for reversal"
"status_211", "CHP: Capturemethod method missing"
"status_212", "Use of Terminal element invalid"
"status_213", "'Terminal' element missing"
"status_214", "Terminal capabilities invalid"
"status_215", "Invalid Cash Back"
"status_217", "Cash back not allowed in this environment"
"status_218", "CV2AVS n/a in CHP environment"
"status_219", "CHP: ReD rich data set n/a"
"status_220", "Invalid transaction type"
"status_221", "Invalid card and capturemethod combination"
"status_222", "CHP: Authcode method attribute error"
"status_223", "CNP: Authcode method attribute error"
"status_224", "Hotcardfile not allowed in this environment"
"status_225", "LID n/a in CHP environment"
"status_226", "Invalid environment for track 2 data"
"status_227", "Invalid track 2 data"
"status_228", "Track 2 data missing"
"status_229", "ICC data n/a in this environment"
"status_230", "ICC data missing"
"status_231", "Cash back > amount"
"status_232", "Cash back n/a to card type"
"status_233", "Field reason_online_code not applicable to Card Holder Not Present"
"status_234", "CHP No support for CA"
"status_235", "Invalid ICC data "
"status_236", "CHP: Invalid receipt number"
"status_237", "CHP: Receipt number specified where invalid"
"status_238", "CHP: Authcode auth_datetime attribute error"
"status_239", "CHP: Transaction cannot be settled"
"status_240", "CP - Track 2 data not allowed"
"status_241", "Cash Advance - Max Cash amount exceeded"
"status_242", "Cash Advance not allowed for this card type"
"status_243", "Cash Advance not supported for this acquirer"
"status_244", "Cash Advance not allowed in this environment"
"status_245", "Cash Advance not supported in this currency"
"status_246", "Invalid Cash Advance data"
"status_247", "Missing currency parameter"
"status_1150", "Invalid TID specified in XML"
"status_1151", "Cannot fulfill a referred parked pre"
"status_1152", "Continuous Authority setup transactions cannot be marked for T3M offline fraud screening"
"status_1153", "Continuous Authority historic payments cannot be T3M fraud screened"
"status_1154", "Continuous Authority cancellations cannot be T3M fraud screened"
"status_1160", "MiGS: Unable to establish connection"
"status_1161", "MiGS: HTTP Error on response"
"status_1162", "MiGS: Unknown bank failure"
"status_1163", "MiGS: Unexpected response from MiGS"
"status_1164", "MiGS: Unknown response from MiGS"
